scientific_name,author,gbif_id,plantnet_id,powo_id,iucn_category,common_names
Senna alata,(L.) Roxb.,2956947,1379771,null,LC,Candlesticks; Christmas-candle; Candlebush; Candlestick senna; Seven-golden-candles; Seven-golden-candlesticks; Empress-candleplant; Ringworm senna; Ringwormbush; Ringwormshrub; Emperor's Candlesticks; Candelabra bush; Empress candle plant; Seven gold candlesticks; Akapulko; Guajava; Winged senna; Candle-stick senna; Cassia/Wild senna/Fleur palmiste/Fleur dartre/Candlestick senna/Ringworm cassia/guajava/ Flor del Secreto/Tarantana/Akapulko/Man-slabriki/Akapulco; Gembirang; Andadasi/ Palochina (Tagalog); King of the Forrest; Guntomou; Gelenggang; Sulok (Sarawak); Ludangan/Ketepeng badak (Melayu); Cây muồng trâu (Vietnam)
Senna bacillaris,(L.f.) H.S.Irwin & Barneby,2957751,1400630,null,LC,West Indian showertree; Whitebark Senna
Senna latifolia,(G.Mey.) H.S.Irwin & Barneby,2957544,1400639,null,LC,
Senna multijuga,(Rich.) H.S.Irwin & Barneby,2957158,1400648,null,LC,False Sicklepod; November shower
Senna pendula,(Humb. & Bonpl. ex Willd.) H.S.Irwin & Barneby,2957187,1725407,null,LC,Easter cassia; Valamuerto; Christmas senna; Golden shower; Senna
Senna quinquangulata,(Rich.) H.S.Irwin & Barneby,2956955,1400655,null,LC,
Senna reticulata,(Willd.) H.S.Irwin & Barneby,2957303,1400656,null,LC,
Senna siamea,(Lam.) H.S.Irwin & Barneby,2956905,1408690,null,LC,Yellow cassia; Ironwood Cassia; Kassod Tree; Mjohoro; Siamese cassia; Pheasantwood; Siamese senna; Thai cassia; Thailand shower; Kassod; Cassia tree; மஞ்சள் கொன்றை; မယ်ဇလီ  (in Burmese)
Senna silvestris,(Vell.) H.S.Irwin & Barneby,2958026,1405562,null,LC,
Senna spectabilis,(DC.) H.S.Irwin & Barneby,2957438,1408691,null,LC,Casia Amarilla; Spectacular senna; Whitebark senna; Gasia
Senna spinescens,(Hoffmanns. ex Vogel) H.S.Irwin & Barneby,2957359,1725427,null,LC,
